#,Depth,Year,Acamptocladius,Chaetocladius,Chironomini larvula,Chironomus anthracinus-type,Chironomus plumosus-type,Chironomus undifferentiated,Cladopelma lateralis-type,Constempellina-Thienemanniola,Corynoneura,Cricotopus ,Cryptochironomus,Dicrotendipes,Endochironomus tendens-type,Eukiefferiella clarapennis-type,Georthocladius (Atelopdella) ,Glyptotendipes pallens-type,Gymnometriocnemus - Bryophaenocladius,Harnischia,Heterotanytarsus,Heterotrisscaldius grimshawi-type,Heterotrisscaldius maeaeri type 1,Heterotrisscaldius maeaeri type 2,Heterotrissocladius marcidus-type,Heterotrisscladius undifferentiated,Kiefferiellus sp B ,Labrundinia,Lauterborniella,Limnophyes,Macropelopia,Mesocricotopus,Metriocnemus,Microchironomus,Microspectra contracta-type,Microspectra insiginolobis-type,Microtendipes pedellus-type,Niulothauma,Oliveridia,Omisus,Pentaneurini,Parachironomus varvus-type,Parachironomus undifferentiated,Parakieferella nigra-type,Parakieferella triquetra-type,Parakieferella type A,Parakieferella type B,Parametriocnemus,Paratanytarsus,Paratendipes subequlis-type,Phaenospectra flavipes-type,Phaenospectra type A,Polypedillum,Procladius,Protanypus,Psectrocladius barbatipes-type,Psectrocladius calcaratus-type,Psectrocladius psilopterus-type,Psectrocladius septentrionalis-type,Psectrocladius sordidellus-type,Psectrocladius undifferentiated,Pseudochironomus,Rheocricotopus fuiscipes-type,Sergentia ,Stempellina,Stempellinellia Zaverillia,Stenochironomus,Stictochironomus rosenchoeldi-type,Stictochironomus type B,Symposiocladius,Tanypus,Tanytarsus chinyensis-type,Tanytarsus lactescens-type,Tanytarsus lugens-type,Tanytarsus mendax-type,Tanytarsus pallidicornis-type,Tribelos,Zalutschia lingulata pauca-type,Zalutschia mucronata-type,Zalutschia near type A,Zalutschia undifferentiated,Zalutschia zalutschicola-type,Tanytarsini undifferentiated,Chironomini undifferentiated,Orthocladinae undifferentiated,Tanytarsus no spur,Tanypodinae undiff,Unidentifiable 
1,0.5,2021,0,0,0,6,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1.5,0,0,6,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,4,6,0,10,3.5,0,0,0,0,0,0.5,1,0.5,3
2,1,2020.808333,0,0,0,4,0,0,0,0,0,0,5.5,6,0,0,0,0,0,0,0.5,2.5,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,6.5,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,3,1,0,10,1,1,0,0,0,1,0.5,0,0.5,1
3,1.5,2019.052993,0,0,1,3,0,1,1,0,1,0,1,6,0,0,0,0,0,0,0,2,0,0,3,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,15.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,12.5,0,0,0,0,0,1,1,5,0,1.5
4,2,2015.919788,0,0,0,3,0,0,0,0,1,0,1,3.5,0,0.5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,4,0,0,0,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8.5,2.5,0,0,0,1,0,2.5,2.5,0,2.5
5,2.5,2013.16406,0,0,0,6.5,0,0,2.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,7.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.5,1,5,3,0,1,1,1,0.5,0,0,0,1
6,3,2010.408332,0,0,0,5.5,1,0,2,0,1,1,2,3,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,2,0,0,2,1,3,0,0,0,4.5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,4,0.5,0.5,0,0,2,0,0,1,0,1
7,3.5,2007.652604,0,0,0,6,1,0,1,0,0,0.5,0,3,0,0,0,0,0,3,0,1,0,0,5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1.5,0,0,0,2,1,1,0,0,0,13.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,2,0,9,0,1,0,0,0,1.5,1.5,2,0,2
8,4,2001.82346,0,0,1,5,1,1,3,0,1,1,1,7,0,0,0,0,0,2,1,1,0,2,10.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1.5,9,2,0,0,0,16,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,6,2,25.5,1,0.5,0,0,0,2,1,3,0,1
9,4.5,1997.838366,0,0,0,7,3,1,1,0,2,0,0,8,0,0,0,0,0,0,0,3,0,0,9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,2,0,0,0,9.5,0,2.5,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,5,3,3,13,0,1,0.5,0,1,0,1.5,1,0,2
10,5,1993.853272,0,1,0,10,1,0,2,0,0,1.5,0,2,0,0,0,0,0,0,0,4.5,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,2,12,0,0,2.5,0,0,1,0,0,0,0,1,0,0,0,0,0,2,8,1,15,1,0,0,0,0,0.5,1.5,4,0.5,3
11,6,1988.54655,0,0,1,4,1,0,1,0,0,1,1,3,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3.5,8,0,0,0,0,11,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5.5,1,0,0.5,0,0,0,0.5,2,0,0.5
12,7,1981.760124,0,0,0,6,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,1,9,1,0,0,0,11.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1.5,9,1,0,0,0,1,0,0,1,0,0
13,8,1968.779393,0,0,0,12,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,11,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,4,0,0,3.5,0,0,0,0,0,1,1,2,0,2
14,9,1959.239943,0,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,9.5,0,2.5,0.5,1,0,1,0,0,0,0,0,0,0,0,3,1,4,2,0,5.5,0,0,0,0,0,1,0,0,0,0.5
15,10,1925.968611,0,0,4,6,2.5,0,3,0,0,1,1,5,0,0,0,0,0,3,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,4,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,11,2,0,0,0,5,3,0.5,1,0,1
16,12,1879.651581,0,0,0,8,2,0,2,0,1,0,2,3.5,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13.5,0,1,0,0.5,0,0,0,0,1,1,0,0,0,0,0,0,5,3,1,10.5,3,0,0,0,1,2.5,0,5,0,3
17,14,1834.882177,0,0,0,5,2,0,2,0,1,0,0,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,3,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,9,1,0.5,0,0,3,2,0.5,2,0,2
18,15,1812.497475,0,0,0,8,2,1,1,0,0,1,0.5,3,0,0,0,0,0,0,2,0.5,0,0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,5.5,0,2.5,0,0,3,1,0,0,0.5,1
19,16,1790.112773,0,0,1,11,2,0,4,0,0,0,0,8,0,0,0,0,0,1,0,0.5,0.5,0,1.5,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,1,4,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,1,0,4,9,0,5,2,1.5,0,0,3,0,0.5,2,0,5
20,18,1745.343369,0,0,2,0,1,0,1,0,1,1,0,8,0,0,0,0,0.5,0,0,0,0.5,0,3,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,2,1,4,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5.5,1,0,1,0,0,0,0,4,2,2,0,1,1
21,20,1700.573964,0,0,1,4,0,0,0,1,1,2,0,5,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1.5,3,0,0,1,4.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,4,0,4.5,1,1,0,0.5,6,1,1,3,0,4.5
22,22,-584.7345836,0,0,0,5,3,1,3.5,0,0,0,1.5,1.5,0,0,0,0,0,0,0,2,0,0,1,0.5,0,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6,0,4.5,0.5,2,0,0,3,0,1,2,0.5,1.5
23,24,-1027.822058,0,0,0,9,1,0,4,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3.5,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,8,6,0,1,0,0.5,0,0,1,2,1,0,0,2
24,25,-1249.365795,0,0,1,9,2,0,3.5,0,0,1.5,0,3.5,0,0,0,0,0,0,1.5,0,0,0,1,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,3,0.5,1.5,0,0,3.5,0.5,0,2,0.5,1
25,26,-1470.909532,0,0.5,4,3,3,0,14.5,1,0,2.5,0.5,2,0,0,0,2,1,0,0,0,0,0,3.5,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,10.5,1,0,1,6.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0.5,0.5,0.5,0,0,2.5,2.5,2,0,0,2
26,28,-801.6424028,0,0,2,2,0,0,4.5,0,1,2,0,8.5,0,1,0,2,0,0,0,1,0,0,0,0.5,0,0,1,0.5,0,0,0,0,0,0,1,0,0,0,4.5,3,0,0,0,0,0,0,1,1,0,2,1,14,0,0,1,3.5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,12,0,1,1,1,0,0,4.5,5,0,2,0,3.5
27,30,-902.4669222,1,1,0,0,0,0,3,0,2,4,0,9,0,0,0,0,0,1,5,0,0,0,6.5,0,0,1,1,0,4,0,0,0,0,0,1.5,0,0,0,3,1,0,0,0,0,0,0,2,0,0,1,1.5,10,0,1,3,1,0,0,0,1.5,0,1,6.5,0,0,0,0,0,0,2,0,0,1,6,1.5,2.5,0,0,0,0,2,3.5,0,1.5,0,3
28,32,-1003.291442,0,0,1,0,0,0,2,1,1,0.5,1,5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,2,0,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,3,0,0,1,0,0,1,3,2,0,0,0,3.5,0,0,0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,1,8,0,2,0,0,0,0,3,1,0,3,0,0
29,34,-1137,0,0,1,1,0,0,2,0,0,1.5,2,7,0,0,0,0,0,1,0.5,0,1,0,2.5,0,0,0,1,1,1.5,0,0,0,0,1,1.5,0,1,1,9,0,0,1,0,4,1,0,1.5,0,0,1,3,9.5,1.5,1,1,2.5,2,0,0,5,0,1,3,0,0,0,0,1,0,2,0,0,1,15,0,1.5,1.5,2,0,0,2,2,0,6,0.5,2.5
