#,Depth,Year,Acamptocladius,Chaetocladius ,Chironomini III (Epler),Chironomini larvula,Chironomus anthracinus-type,Chironomus plumosus-type,Chironomus undifferentiated,Cladopelma lateralis-type,Cladotanytarsus mancus-type,Constempellina-Thienemanniola,Corynocera oliveri-type,Corynoneura ,Cricotopus ,Cryptochironomus,Cryptotendipes,Dicrotendipes ,Doithrix,Endochironomus ,Glyptotendipes ,Gymnometriocnemus,Harnischia,Heterotanytarsus,Heterotrissocladius grimshawi-type,Heterotrissocladius maeaeri-type 2,Heterotrissocladius marcidus-type,Heterotrissocladius undifferentiated,Hydrobaenus ,Labrundinia,Lauterborniella,Limnophyes,Macropelopini,Metriocnemus fuscipes-type,Microchironomus,Micropsectra contracta-type,Micropsectra insignilobus-type,Microtendipes pedellus-type,Nanocladius alternantherae-type,Neostempellina,Nilothauma ,Orthocladius (Edu.) dubitatus ,Orthocladius (S.) annectens-type,Pagastiella,Parachironomus varus-type,Parakiefferiella,Parakiefferiella sp D,Parakiefferiella triquetra-type,Parakiefferiella type A,Parakiefferiella type B,Paralauterborniella,Parametriocnemus/Paraphaenocladius,Paratanytarsus,Paratendipes albimanus-type,Pentaneurini,Phaenocladius type A,Phaenopsectra flavipes-type,Polypedilum ,Procladius,Protanypus,Psecterocladius septentrionalis-type,Psectrocladius calcaratus-type,Psectrocladius psilopterus,Psectrocladius sordidellus-type,Psectrocladius undifferentiated,Pseudochironomus,Pseudorthocladius,Psilometriocnemus,Rheocricotopus,Sergentia coracina-type,Stempellina,Stempellinella sp A,Stempellinella-Zavrelia,Stenochironomus,Stilocladius,Synorthocladius,Tanypus,Tanytarsus chinyensis-type,Tanytarsus glabrescens-type,Tanytarsus lactescens-type,Tanytarsus lugens-type,Tanytarsus mendax-type,Tanytarsus pallidicornis-type,Thienemanniella,Tribelos ,Xenochironomus,Zalutschia lingula pauca-type,Zalutschia sp A,Zalutschia undifferentiated,Zalutschia zalutschicola-type,Zavreliella,Chironomini undifferentiated,Orthocladiinae undifferentiated,Tanypodinae undifferentiated,Tanytarsini undifferentiated,Tanytarsus no spur,Unidentifiable,Unknown
1,1,2022.63,0,0,0,1,9.5,1,1,9,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5,2,1,2.5,0,0,0,2,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,2,0,0,0,0,1,0,1.5,0,0,2,8,0,0
2,1.5,2018.49,0,0.5,0,0,13,0,0,2,3,0,0,0,0.5,1,1,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,3.5,0,0,2,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,3,0,0.5,0,0,0.5,0,1,0.5,0,2,4,0,0
3,2,2016.044068,0,0,0,1,12,0,0,6,5,0,0,1,1,0,0,8,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0.5,1,0,4.5,0,0,4,1,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,0,0.5,1,0,0,0,0,0,2,0,0,3.5,8,2.5,1
4,2.5,2010.76,0,1,0,0,16,0,0,4,12,0,0,0,2,0,3,8,0,4.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3.5,0,0,6,2,0,0,0,3,6,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,1,0,0,0,0,1,0,2,1.5,0.5,4.5,5.5,0,1
5,3,2005.326524,0,0,0,0,18.5,0,0,5,4,0,0,2,0.5,0,2,6,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1.5,0,0,1,0,3,0,0,6,0,0,0,1,1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0.5,0,4,4,0,1
6,3.5,2003.32,0,0,0,1,10.5,0,0.5,8,0,0,0,0,1,0,2,4,0,0,0,0.5,0,0,2,0,0.5,0,0,0,0,1,0,0,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,2,2,0,0,0,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,2,0,0,0.5,0,4.5,1,1,0
7,4,2001.218841,0,1,0,1,5.5,0,0,1,6,0,0,0,3,0,0,5,0,4,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,1,7,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0.5,0,0,3,1.5,0
8,4.5,1999.01938,0,0,0,4,9,0,0,1,6,0,0,0,3.5,1,1,7,1,0,0,0,0,0,0,0,0.5,0,0,1.5,0,2,0.5,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,6,0,0,4,3,0,0,0,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,1.5,0,0,1.5,0,1,0.5,0.5,0,6.5,3,0
9,5,1996.72284,0,0,0,2,20,5.5,1,4,5,0,0,0,1,1,0,12,0,2.5,1,0,0,0,0,0,0,0,0,1,0,1.5,1,0,1,0,0,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,9,0,0,7,6,0,0,1,3,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.5,0,0,0,0,0,0,0,0,0,2,0.5,5.5,3,5.5,0
10,6,1990.977117,0,0,0,1,13,0,0,2,3,0,0,1,1,0,0,3,0,1,0,0,0,0,0.5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,5,0,0,2,3.5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,1,0.5,0,3,2.5,0,0
11,7,1988.356618,0,0,0,1,13.5,0,0,0,11,0,0,3,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,4,5,0,0,0.5,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0.5,0,0,0,0,0,0,0.5,0,1,1,2,0,0
12,8,1983.631669,0,0,0,2,23,0,0,4,6,0,0,0,5,0,2,7,0,1,1,0,0,0,2,0,0.5,0,0,1,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1.5,4,0,0,1,2,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.5,0,0,0,0,0,0.5,0.5,2,5,1,0
13,9,1965.912587,0,0,0,1,14,0,0,0,1,0,0,1,4.5,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0.5,2,4.5,0,1
14,9.5,1953.552909,0,0,0,0,23,1,0,2,1,0,0,0,1,0,0,5,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0.5,1.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,1,0,1,0,0,3,3,0,0,0,0,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0.5,0,1,0,0,2.5,2,0.5,0
15,10,1949.778623,0,0,0,1,14,1,0,3,3,0,0,2,0,0,0,4,0,0,0,0,0,0,3,0,1,0.5,0,1,0,1,0.5,0,0,0,0,2,0,0.5,0,0,0,0,1,0,0,0,0,2.5,0,0,0,0,4,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,1,1,0,5.5,4,1,0
16,10.5,1940.863991,0,0,0,4,25.5,1,0,1.5,3,0,0,0,1,1,0,5,0,2.5,1,0,0,1,2.5,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,3,1,0,5,4,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,5,0,0,0,1,0,0,0,0,3,1.5,0.5,2,3,1,0
17,11,1936.772575,0,0,0,0,18,0,0,1,7,0,0,0,0,0,0,1,0,2,2.5,0,0,0,4,0,1.5,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0.5,0,1,0,3.5,1,0
18,11.5,1932.58408,0,0,0,0,32,4,0,5,5,0,0,0,3,1,0,5,0,2.5,3,0,0,0,1.5,0,2.5,0,0,2,0,1,0,0,0,0,0,3.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4,0,0,5,3,0,1,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,0,0,1.5,1,0,1,6,1,0
19,12,1928.298505,0,0,0,0,28,0,0,2,3,0,0,1,1.5,0,0,6,0,2.5,1,0,1,0,2,0,1,0,0,1,0,0,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3,0,0,3,2,0,0,0,1.5,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,2,0,1,1.5,4,0,0
20,12.5,1909.68,0,0,0,0,19,2,0,0,3.5,0,0,1,1,0,0,2,0,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0
21,13,1891.059512,0,0,0,4.5,17,0,0,0,2,0,0,2,3,0,0,8,0,4,0.5,0,0,0.5,5,1,2,0,0,0,0,1,1.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,8,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.5,0,2.5,0,0.5,0,0,0,0,1,1,1,0,3.5,0.5,0
22,13.5,1885.910502,0,0,0,4,8.5,0,0,1,0,0,0,0,2,0,0,3,0,3,1,0,0,0,13.5,0,9,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1.5,0,4.5,0,0,1,4,1,0,0,1,1.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0
23,14,1880.664413,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,3,0,0,0,0,3,6,19.5,0,14,0,0,0,0,1,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,7,0,0,1,0.5,7,0.5,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,2,7,0,1,0,11,0,0,0,0,0,3.5,0,6.5,19,0,0
24,14.5,1875.27,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,1,0,0,0,0,0,7,4.5,1,5.5,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,1,0,0,0,0,5.5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,7.5,0,1,0,8,0,0,1.5,0,0.5,0,0.5,4,14,0,0
25,15,1869.880998,0,0,0,0,2,0,0,1,0,1,0,1,0,1,2,4,0,0,1,0,1,8.5,13.5,0.5,16,1,0,0,1,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,7.5,0,0,3,1,0,0,0.5,0.5,6,1,0.5,0,0,0,0,1.5,0,1,0,0,0,0,1,0,0,0,2,18,0,0,0,12.5,0,0,0,0,0,4.5,4,10.5,15.5,0,0
26,16,1858.709267,0,0,0,1,4.5,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,5.5,14,0,6.5,0,0,1,0,0,0.5,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5,0,0,3,0,0,0,2,0,10.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,4,0,0,0.5,0,1,1,2.5,9.5,21,1,0
27,17,1847.1,0,0,0,0,4.5,0,0,2,0,0,0,0,1,2,0,5,0,0,0,0,0,2,11,0,13.5,0.5,0,0,0,0.5,1.5,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.5,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0,1,0,3,0,0,0,0,0,0.5,1.5,2.5,11,0,0
28,18,1835.200855,0,0.5,0,0,1,0,0,2.5,0,0,0,1,0,2,0,3,0,0,0.5,0,2,5,7.5,0,3,0,0,0,0,1,2,0,0,0,0,1,0,8,1,0,0,1,0,0,0,1,0,0,0,0.5,0,0,5.5,0,0,5,4,0,0,0.5,0,3.5,0,0.5,0,0,0,0,2.5,0,4.5,0,0,0,0,1,0,0,0,1,17,0,1,0,4,0,0,1.5,0,1,1.5,3,7.5,17,3,0
29,19,1822.82,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,1,2.5,4,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0.5,0,1,0,0,0,0,3.5,0,1,0,0,0,0,0,0,0,0,1,11,0,0,0,1.5,0,0,2,0,0.5,0,0,10,8,0,0
30,20,1810.139177,0,0,0,0,1,0,0,11.5,0,0,0,1,0.5,3.5,0,4,0,0,0,0,2,9.5,7.5,0,2,0,0,0,0,0,3.5,0,0,1,0,0,0,9,1,0,1,2,0,0,0.5,0,1,0,2,3,1,0,3.5,0,0,10,4,0,0,0.5,0,1.5,0,1,0,0,0,1,9,1,7.5,0,0,0,0,4,2,0,0,0,31,1,0,0,3.5,0.5,1,2.5,0,1,0,3.5,19.5,10,0,0
31,22,1783.524235,0,0,0,0,4,0,0,5,1,0.5,0,0,0.5,0,1,3.5,0,0,1,0,1,5,2.5,0,2.5,0,0,0,0,0,1,0,0,1,0,1,0,5.5,0,0,0,0,1,0,0,1,2,0,3,0,1,3,3,0,0,4,6,1,0,1,1,1,1,0.5,0,0,0,0,2.5,0,3,0,0,0,0,6,3,0,0,3,11,0,0,0,3.5,0.5,0,3,0,0,0.5,3,12,10,0,2
